eco:b3879 ['yihR'] [('NCBI-GeneID', ['948375']), ('NCBI-ProteinID', ['NP_418315']), ('Pasteur', ['yihR']), ('RegulonDB', ['ECK120001775']), ('ECOCYC', ['EG11844']), ('ASAP', ['ABE-0012669']), ('UniProt', ['P32139'])]
eco:b4069 ['acs'] [('NCBI-GeneID', ['948572']), ('NCBI-ProteinID', ['NP_418493']), ('Pasteur', ['acs']), ('RegulonDB', ['ECK120001411']), ('ECOCYC', ['EG11448']), ('ASAP', ['ABE-0013337']), ('UniProt', ['P27550'])]
eco:b4395 ['ytjC'] [('NCBI-GeneID', ['948918']), ('NCBI-ProteinID', ['NP_418812']), ('Pasteur', ['gpmB']), ('RegulonDB', ['ECK120002060']), ('ECOCYC', ['EG12164']), ('ASAP', ['ABE-0014416']), ('UniProt', ['P0A7A2'])]
eco:b3588 ['aldB'] [('NCBI-GeneID', ['948104']), ('NCBI-ProteinID', ['NP_418045']), ('Pasteur', ['aldB']), ('RegulonDB', ['ECK120002173']), ('ECOCYC', ['EG12292']), ('ASAP', ['ABE-0011718']), ('UniProt', ['P37685'])]
eco:b3589 ['yiaY'] [('NCBI-GeneID', ['948102']), ('NCBI-ProteinID', ['YP_026233']), ('RegulonDB', ['ECK120002174']), ('ECOCYC', ['EG12293']), ('ASAP', ['ABE-0011725']), ('UniProt', ['P37686'])]
eco:b2453 ['eutG'] [('NCBI-GeneID', ['946233']), ('NCBI-ProteinID', ['NP_416948']), ('Pasteur', ['eutG']), ('RegulonDB', ['ECK120003857']), ('ECOCYC', ['G7283']), ('ASAP', ['ABE-0008087']), ('UniProt', ['P76553'])]
eco:b2210 ['mqo'] [('NCBI-GeneID', ['946702']), ('NCBI-ProteinID', ['NP_416714']), ('Pasteur', ['yojH']), ('RegulonDB', ['ECK120001978']), ('ECOCYC', ['EG12069']), ('ASAP', ['ABE-0007300']), ('UniProt', ['P33940'])]
eco:b0720 ['gltA'] [('NCBI-GeneID', ['945323']), ('NCBI-ProteinID', ['NP_415248']), ('Pasteur', ['gltA']), ('RegulonDB', ['ECK120000395']), ('ECOCYC', ['EG10402']), ('ASAP', ['ABE-0002451']), ('UniProt', ['P0ABH7'])]
eco:b4122 ['fumB'] [('NCBI-GeneID', ['948642']), ('NCBI-ProteinID', ['NP_418546']), ('Pasteur', ['fumB']), ('RegulonDB', ['ECK120000350']), ('ECOCYC', ['EG10357']), ('ASAP', ['ABE-0013501']), ('UniProt', ['P14407'])]
eco:b4154 ['frdA'] [('NCBI-GeneID', ['948667']), ('NCBI-ProteinID', ['NP_418578']), ('Pasteur', ['frdA']), ('RegulonDB', ['ECK120000324']), ('ECOCYC', ['EG10330']), ('ASAP', ['ABE-0013604']), ('UniProt', ['P00363'])]
eco:b3236 ['mdh'] [('NCBI-GeneID', ['947854']), ('NCBI-ProteinID', ['NP_417703']), ('Pasteur', ['mdh']), ('RegulonDB', ['ECK120000569']), ('ECOCYC', ['EG10576']), ('ASAP', ['ABE-0010613']), ('UniProt', ['P61889'])]
