,ec,eigenvector_centrality,subgraph_centrality,clustering_coefficient,class
80,eco:b2168,0.0011212047645909782,1.2626274610514532e-06,0.6666666666666666,2
81,eco:b2705,0.00025430382147759737,1.4818472288515472e-07,0.696969696969697,2
82,eco:b2704,3.524109714194671e-05,2.8648630037193627e-09,0.3333333333333333,2
83,eco:b4085,0.00025904651211337794,1.5410876448181525e-07,0.8363636363636363,2
84,eco:b4465,1.1819547701992647e-05,1.0779140807566503e-09,1.0,2
85,eco:b4084,6.858286726513558e-06,3.2597145834994534e-10,0.0,2
86,eco:b1819,3.524195957833849e-05,2.8683681796248528e-09,0.3333333333333333,2
87,eco:b1613,0.00025430465040862985,1.4819994360251396e-07,0.696969696969697,2
88,eco:b2048,1.183952914129344e-05,1.111701221787633e-09,0.3333333333333333,2
89,eco:b2049,4.849800878199101e-07,5.975189028046287e-11,0.0,2
90,eco:b2053,1.9944863446942424e-08,4.9550982212439864e-11,0.0,2
91,eco:b3600,0.0002528629024125389,1.45519034672184e-07,0.8181818181818182,2
92,eco:b2052,8.258605379330954e-10,3.529024376896846e-11,0.0,2
93,eco:b0394,0.00030254341455403054,1.908267852043588e-07,0.5604395604395604,2
94,eco:b2803,0.0004849001356173599,2.3544885549445975e-07,0.0,2
95,eco:b2802,1.97656179132648e-05,4.2871336478425817e-10,0.0,2
96,eco:b2245,0.009023080593885475,8.142011423527604e-05,0.6666666666666666,2
97,eco:b2800,0.011875858911491663,0.00014105983761002262,0.5151515151515151,2
98,eco:b2247,0.0003678084572643827,1.3538072316492678e-07,0.0,2
99,eco:b3903,1.9799049519865674e-05,4.313559618995477e-10,0.0,2
100,eco:b2169,0.0010161102913402793,1.0389315848612615e-06,0.4666666666666667,2
101,eco:b3599,1.0322025769047417e-05,8.201102347891227e-10,0.0,2
102,eco:b0757,1.3442531881008041e-06,1.0047042735321594e-10,0.0,2
103,eco:b2091,8.692276300725354e-05,8.606577018958084e-09,0.3333333333333333,2
104,eco:b0344,2.6955355234807616e-05,1.5603133508973646e-09,1.0,2
105,eco:b3077,3.03280589035292e-05,2.7393455439483387e-09,0.6,2
106,eco:b0759,7.231115714639212e-07,5.971917614450593e-10,0.4666666666666667,2
107,eco:b4119,0.0005978564108906719,3.859949223271094e-07,0.2571428571428571,2
108,eco:b0758,8.647554601751002e-08,9.970451800786257e-11,0.3333333333333333,2
109,eco:b0403,9.970445894370454e-05,5.515866029312431e-08,0.45054945054945056,2
110,eco:b4565,3.5446612798501356e-06,5.7402884074983775e-11,0.0,2
111,eco:b2036,3.361596735107112e-08,8.018138859623886e-11,1.0,2
112,eco:b3137,0.021143074347970334,0.0004470299283960448,0.7857142857142857,2
113,eco:b4477,0.0210968398224968,0.00044507571442448205,0.75,2
114,eco:b3140,3.5446612798501356e-06,5.740288407498379e-11,0.0,2
115,eco:b3141,8.692276300725354e-05,8.606577018958084e-09,0.3333333333333333,2
116,eco:b3693,0.000861404693466922,7.421717286212261e-07,0.0,2
117,eco:b4478,3.5113073545816336e-05,1.2693734428840166e-09,0.0,2
118,eco:b2787,0.008378088150683194,7.019051364548345e-05,1.0,2
119,eco:b3126,0.19715084966381555,0.038866578430790825,0.664367816091954,2
120,eco:b4195,3.504381877774135e-08,3.715876914170355e-11,0.0,2
121,eco:b4192,8.595793801089293e-07,9.031620701303251e-11,0.3333333333333333,2
122,eco:b3128,0.008378088150683194,7.019051364548345e-05,1.0,2
123,eco:b1095,0.00012666420900427655,1.683840697940062e-08,0.47619047619047616,2
124,eco:b2323,0.00012666420900427655,1.683840697940062e-08,0.47619047619047616,1
125,eco:b1093,0.0014371272837000462,2.06926266072805e-06,0.2,1
126,eco:b1288,1.6450007683140213e-05,8.731079747667893e-10,0.38095238095238093,1
127,eco:b1091,0.03487625295064527,0.0012168603438545015,0.8333333333333334,2
128,eco:b0180,6.202170283138083e-05,4.124000889379137e-09,0.4,1
129,eco:b0954,6.178752562567596e-05,4.005296452695236e-09,0.6666666666666666,1
130,eco:b1092,0.0014348817986706993,2.062728624528824e-06,0.5,1
131,eco:b3256,0.03487616138517695,0.0012168539193619507,0.8333333333333334,1
132,eco:b1805,0.00015090144062515222,2.3070389003300695e-08,0.0,2
133,eco:b3846,0.005861939580880726,3.445449504634129e-05,0.5357142857142857,2
134,eco:b2844,0.03704259418940106,0.0013728715258588115,0.5882352941176471,2
135,eco:b3845,0.03839497209154409,0.0014750426307296456,0.4458874458874459,2
136,eco:b0221,0.0037013956546293656,1.3743671319592927e-05,0.47619047619047616,2
137,eco:b2261,3.803892511017714e-09,5.062773291810849e-11,0.0,2
138,eco:b2260,1.6403987033854075e-10,5.0576162431732635e-11,0.0,2
139,eco:b4039,5.288000000817031e-05,3.448987688093439e-09,0.38095238095238093,2
140,eco:b2265,5.2879826101875396e-05,3.444881649446562e-09,0.38095238095238093,2
141,eco:b3930,9.699191017134986e-08,1.153340568380177e-10,0.16666666666666666,2
142,eco:b3833,4.003408324784134e-09,9.367377074414132e-11,0.0,2
143,eco:b2907,1.7238401840709664e-10,5.680712957828453e-11,0.0,2
144,eco:b2264,2.256569092519491e-06,1.0729090419855119e-10,0.3333333333333333,2
145,eco:b2263,9.251077278925972e-08,5.272882546654936e-11,0.0,2
146,eco:b3843,9.283506632001478e-08,5.619238561912532e-11,0.0,2
147,eco:b4040,2.2644139200801547e-06,1.7564810135628434e-10,0.2,1
148,eco:b2232,1.718458411872638e-10,7.099807842360235e-11,0.0,2
149,eco:b4211,1.6522595901588635e-10,3.778560465282911e-11,0.0,2
150,eco:b2262,1.7145701967888358e-10,5.066513906914805e-11,0.0,2
151,eco:b0662,1.7238401840709664e-10,5.680712957828455e-11,0.0,2
152,eco:b3957,1.3967071303029067e-06,1.7452143404144392e-10,0.3333333333333333,2
153,eco:b3172,1.2638543452783312e-06,1.1220961352184806e-10,0.3333333333333333,2
154,eco:b4254,2.92825903862455e-05,1.856098394207589e-09,0.3333333333333333,2
155,eco:b2290,0.19587872104415868,0.038366612069941276,0.7592592592592593,2
156,eco:b3870,0.0032014777152001074,1.1363588065117624e-05,0.7692307692307693,2
157,eco:b2874,0.00020808506034146696,4.715496970589845e-08,0.14285714285714285,2
158,eco:b3960,5.66781335086047e-08,1.5168376133540344e-10,0.5,2
159,eco:b0928,0.025187077063161097,0.0006363951260544473,0.24431818181818182,2
160,eco:b3359,2.78127970658044e-07,9.391359547117485e-11,0.0,2
161,eco:b1524,0.0034506261583523877,1.3329672963320382e-05,0.7619047619047619,2
162,eco:b1761,0.004122334212795444,1.847620394264232e-05,0.6916666666666667,2
163,eco:b2818,0.0031685412984971653,1.1083153518123073e-05,0.8333333333333334,2
164,eco:b3959,0.00012977929084678267,2.2330592347018836e-08,0.0,2
165,eco:b3958,5.3299932014393535e-06,1.097070282182076e-10,0.0,2
166,eco:b2508,0.0006386448707746395,6.430888042045781e-07,0.7777777777777778,2
167,eco:b0477,0.0018745673083447947,4.184026360332575e-06,0.5619047619047619,2
168,eco:b4384,0.0013803546360142862,2.773783563083534e-06,0.25,2
169,eco:b0125,0.001943997907731688,4.5614361195497815e-06,0.477124183006536,2
170,eco:b4374,0.00414754325425246,1.9559063333770655e-05,0.1835075493612079,2
171,eco:b2518,0.016367999384592595,0.0002681387126851572,0.30735930735930733,2
172,eco:b3806,0.011797691734613949,0.00013919598958118246,0.75,2
173,eco:b4177,0.0005276033515875898,4.318311043473182e-07,0.8095238095238095,2
174,eco:b1131,0.0019016206952090183,3.8060961334877124e-06,0.5,2
175,eco:b0474,0.019572433556911916,0.0003831218679452291,0.31868131868131866,1
176,eco:b4213,0.00045398492968185466,4.165267933282973e-07,0.6666666666666666,2
177,eco:b1623,0.0003558123778730081,2.3770119628467866e-07,1.0,2
178,eco:b2795,0.0021325229415738597,4.939614156297723e-06,0.4358974358974359,2
179,eco:b2162,0.0008357824623184236,1.2486452387467417e-06,0.44166666666666665,2
180,eco:b0469,0.002820185065836022,8.716035495541413e-06,0.47794117647058826,2
181,eco:b2407,0.00041098683096900743,2.989275059941398e-07,0.8666666666666667,2
182,eco:b0238,0.0018829083210518429,4.191209934390832e-06,0.5619047619047619,2
183,eco:b2868,0.00029620791136455863,1.9587581077096944e-07,0.8095238095238095,2
184,eco:b2883,0.00039175361731040364,2.879505429179156e-07,0.8571428571428571,2
185,eco:b2499,4.132508939704407e-07,8.318877169351795e-11,0.3333333333333333,2
186,eco:b0522,2.0506443579859005e-07,8.241759220920352e-11,0.3333333333333333,2
187,eco:b2476,7.779627626347265e-05,7.190155596446554e-09,0.0,2
188,eco:b0523,3.190652984942016e-06,6.874424323743263e-11,0.0,2
189,eco:b3397,0.00014463586609608176,3.2053559130342124e-08,1.0,2
190,eco:b3034,0.00014463586609608176,3.205355913034213e-08,1.0,2
191,eco:b3032,0.0017286465434979868,3.0781141525260345e-06,0.6666666666666666,2
192,eco:b0516,6.394355189844049e-18,5.1103702055405257e-11,0.0,2
193,eco:b0517,9.280724939380975e-18,6.178895687983055e-11,1.0,2
194,eco:b0505,9.280724939380975e-18,6.178895687983055e-11,1.0,2
195,eco:b2954,0.0010913815871372375,1.320665697908861e-06,0.6666666666666666,2
196,eco:b2507,0.0017522652940480219,3.450322365585018e-06,0.8222222222222222,2
197,eco:b2781,0.014955254548618598,0.00022510580139151846,0.16666666666666666,2
198,eco:b3988,0.013521741517257723,0.0001829015068668121,0.6515151515151515,1
199,eco:b2312,9.00033860717586e-06,5.852559570136483e-10,0.5,2
200,eco:b4005,8.849726320729516e-06,1.815846338917263e-10,0.0,2
201,eco:b2500,0.00020766306877558982,4.648198207091784e-08,0.26666666666666666,2
202,eco:b2557,8.498270480115262e-06,1.6663167165312975e-10,0.0,2
203,eco:b2676,0.011609627306959006,0.00013480485216770674,0.5,2
204,eco:b0104,0.0017553262194999143,3.503219638582404e-06,0.7818181818181819,2
205,eco:b3650,0.013196600602409896,0.00017418036331404713,0.5636363636363636,1
206,eco:b4006,0.0006383241715892616,6.121900755625879e-07,0.7857142857142857,2
207,eco:b3164,0.012083360660655662,0.00014603113700773824,0.5555555555555556,2
208,eco:b2752,2.5462416299693753e-08,6.826363480889433e-11,1.0,2
209,eco:b2750,3.065808008382229e-07,1.1010903399414759e-10,0.6666666666666666,2
210,eco:b4238,0.013910695659708492,0.0001935854027407477,0.5274725274725275,2
211,eco:b4372,0.010138131827393095,0.0001027763707344533,0.8,2
212,eco:b0160,0.010238641871264855,0.00010485908851510634,0.4666666666666667,2
213,eco:b3648,0.011807579963540385,0.00013975221030867343,0.5128205128205128,1
214,eco:b0512,2.8881108584997404e-18,3.533463035635024e-11,0.0,2
215,eco:b3779,0.0005380319126202061,2.8998736271407485e-07,0.0,2
216,eco:b0910,0.0025737289953994707,6.781449792395909e-06,0.39285714285714285,2
217,eco:b2066,0.0012642695242161713,1.9057784360929313e-06,0.4696969696969697,2
218,eco:b2780,0.002517462211437657,6.381193136415869e-06,1.0,1
219,eco:b2065,0.0029786664618154336,8.92798544044696e-06,0.6666666666666666,2
220,eco:b3640,0.0016340618990549768,2.7473312547923206e-06,0.5,1
221,eco:b1098,0.0014271711538860507,2.1011974646427917e-06,0.5714285714285714,1
222,eco:b2827,0.00033111545024881153,1.503181877609413e-07,1.0,2
223,eco:b1238,0.0003599605741393997,1.9528187803154824e-07,0.7142857142857143,2
224,eco:b0391,0.0003903110885714113,2.751264157876178e-07,0.7142857142857143,2
225,eco:b2143,0.00041391076160098044,3.715459644557758e-07,0.5777777777777777,2
226,eco:b4382,0.000316669804978722,2.1997152050996668e-07,0.5555555555555556,2
227,eco:b2147,0.00015689667859002384,7.856201705973897e-08,0.7142857142857143,2
228,eco:b0337,0.00028869483679497813,2.0478191130128979e-07,0.5555555555555556,2
229,eco:b2873,6.469261104898043e-06,4.0853737430201446e-10,0.0,2
230,eco:b3642,4.729310632255431e-05,3.3687224667062255e-09,0.3333333333333333,2
231,eco:b0033,0.000471888133078191,3.006438848658274e-07,0.42857142857142855,2
232,eco:b4245,2.9103565322524452e-05,1.693852829511158e-09,0.5,2
233,eco:b1012,0.00015697167061572782,7.859728921131794e-08,0.7142857142857143,2
234,eco:b1011,8.370567171398176e-06,5.016075120513884e-10,0.3333333333333333,2
