,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
26,eco:b2453,0.00112306264489025,0.13204245052369545,0.00023299859592100592,0.00010245121472749816,0.15161335332939424,2
27,eco:b0720,0.005528627738709273,0.1564215054151299,0.0,0.0,0.18833632648661566,2
28,eco:b1276,2.3465688203235332e-05,0.12097580092093661,7.975147151008556e-06,9.306274729595209e-06,0.13701193636164782,2
29,eco:b1136,0.00037985534213677205,0.13683211896808342,0.0010337192677683127,0.0010006859456429902,0.1571837042212769,2
30,eco:b3236,0.037307392457486814,0.18306326504590276,0.007035890405607479,0.007263968427203104,0.22873574723285672,2
31,eco:b4122,0.034348440572986284,0.17569939341032306,0.010954640480906252,0.011351073396966371,0.21549476535025652,2
32,eco:b2210,0.035100739237719544,0.17569939341032306,0.003548899918454935,0.002859816669008241,0.21580786746971706,2
33,eco:b4154,0.002929553471092431,0.1519475376639779,0.0026132263588336084,0.0027909384856623343,0.18445857289787962,2
34,eco:b0724,0.002929553471092431,0.1519475376639779,0.0026132263588336084,0.0027909384856623343,0.18445857289787962,2
35,eco:b0729,0.007358403051902104,0.1524593021815234,0.007057770983353612,0.0068927095938749825,0.1878420150818996,2
36,eco:b0726,0.011762117959600669,0.18054100106049872,0.01808228492653706,0.019719868442357034,0.22037660877978782,2
37,eco:b0727,0.011735745571039987,0.1591854478660024,0.0029411106393802786,0.003800099603650243,0.19514131902137694,2
38,eco:b4094,3.4442453457684e-06,0.12386965823219032,0.0,0.0,0.1415633425143374,2
39,eco:b1207,0.00012474406323202407,0.1375502985980264,0.013973842955575215,0.016110074756921465,0.15726903756166813,1
40,eco:b2935,0.0010799509950520866,0.15411082665578937,0.03890424328405578,0.039449081297541384,0.20513294709465232,2
41,eco:b4381,0.03355802323154545,0.18421460633549963,0.051015186668794635,0.04416439368295772,0.2212491506566651,2
42,eco:b3526,0.01228764859272184,0.1742360986178792,0.011067147386296144,0.011067147386296144,0.2038634334515838,2
43,eco:b4268,0.002668386369599418,0.16074564633113655,0.0,0.0,0.18669844125046484,2
44,eco:b3553,0.0364216666893361,0.18272736914673596,0.01441108681168913,0.01608730021754344,0.22680189110824914,2
45,eco:b0124,3.3286631975277244e-05,0.12520293711965189,0.0005047199004137723,0.0004497987449931985,0.15056503446400618,2
46,eco:b2464,0.0001453595701496631,0.1452120387649039,0.001857622410692369,0.00294073634127004,0.17284391307151464,2
47,eco:b2029,3.084432411109605e-05,0.1255524479978691,0.00023375479952820322,0.00023108839497084724,0.15206188780334506,2
48,eco:b1851,0.012283326861045841,0.17098599074198206,0.00023967621125613157,0.00034715541687928194,0.19899830821073605,2
49,eco:b0767,2.9092437747760067e-27,0.001445086705202312,6.273893076131601e-06,6.273893076131601e-06,0.001445086705202312,2
50,eco:b1852,1.322383533989094e-28,0.0,0.0,0.0,0.0,2
51,eco:b1850,0.2243434019600982,0.21224726382133652,0.10861654985872024,0.10126629326958896,0.273904679937917,2
52,eco:b3386,9.319306228726629e-05,0.13242874492682327,0.003420484469914033,0.004193283777913718,0.1643402765629478,2
53,eco:b4090,0.0003768478589681048,0.14470563235247183,0.030147664049565644,0.028668357212816232,0.183118312724527,2
54,eco:b3752,0.0020713218171546297,0.16400924931648733,0.021971917504333673,0.018450811373798136,0.19927304150570063,2
55,eco:b4383,0.0020531699763062443,0.16384734482555297,0.0371971775448067,0.03579727986024349,0.19710541144789717,2
56,eco:b2842,3.9463783689950206e-05,0.12473768648933176,0.0012659322029172206,0.0012662807525325615,0.13807082649206986,2
57,eco:b3091,3.947034012140613e-05,0.1247981360587475,0.0012624467067638145,0.0012620981571484736,0.13843209816837043,2
58,eco:b3092,2.300512982623279e-06,0.10921160040594803,0.001274297393685396,0.0012741231188777259,0.1206111051242387,2
59,eco:b1521,2.2869984028471145e-06,0.10921160040594803,2.3701373843163822e-05,2.3527099035493504e-05,0.11952729009533697,2
60,eco:b2843,2.1606863696016796e-06,0.10900357830993669,0.0,0.0,0.11740782959437356,2
61,eco:b4323,3.742948939176317e-05,0.12482838281978936,0.0037280866856835336,0.0037282609604912037,0.13867294595257082,2
62,eco:b4322,0.0006791459635003252,0.1456154672079307,0.009889049686444764,0.009889223961252436,0.1653017222020118,2
63,eco:b1617,1.2595309645214862e-07,0.0969581904206421,0.0,0.0,0.10408259509861925,2
64,eco:b2042,4.666658367585112e-05,0.1265714491420578,0.014288935692492347,0.013801321241688992,0.16047769325672265,2
65,eco:b2028,3.0959269659440993e-06,0.1104797162025417,0.00241754013200271,0.00241754013200271,0.13299940324230564,2
66,eco:b3580,5.549823958111482e-05,0.13200744457180688,0.008434588651817078,0.008596708201904335,0.1510539456529347,2
67,eco:b3575,1.322383533989094e-28,0.0,0.0,0.0,0.0,2
68,eco:b4196,3.5424941084944934e-06,0.11785374696446284,0.002728851398493187,0.002725137491204931,0.13355621236125342,2
69,eco:b0062,1.8402524980073398e-06,0.10909993008870628,0.0,0.0,0.12437991980345817,2
70,eco:b0063,3.3497693191174066e-05,0.12517146327924975,0.0037802589967340437,0.003860739779905621,0.15221671852175958,2
71,eco:b4198,7.101561823843074e-05,0.13200744457180688,0.00299820861992178,0.0029625688921223977,0.16219673128356435,2
72,eco:b4197,8.972387182499884e-06,0.1218331492353451,0.0028808696996314156,0.00300417585675819,0.14401932824344446,2
73,eco:b1580,2.175261350725019e-06,0.10914217154364292,0.0,0.0,0.11892517063483603,2
74,eco:b3904,0.0010008949953821042,0.14903683954649968,0.01192452224681628,0.012073193185922149,0.1712738610137459,2
75,eco:b3902,0.01817029030570458,0.17783288604459124,0.017241055969487926,0.0175503937604528,0.21659693068652608,2
