,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
10,pae:PA0230,7.287029716116788e-11,0.07394111855797497,0.0011514337245943492,0.0011411037957854257,0.08291357593532972,0.08291357593532972,1.403905867903082e-13,0.001736111111111111,0.0,0.0006857408398213622,4.91930382079626e-12,0.9833024118738405,1.0,2
11,pae:PA0247,1.6910391012620863e-08,0.09201705051314427,0.003729988510206025,0.00371504855908766,0.10987895517131228,0.10987895517131228,8.696636852574097e-12,0.008680555555555556,0.4666666666666667,0.0016848797548267738,2.100684279365277e-09,0.9443413729128015,1.0,2
12,pae:PA0265,0.008379561650486268,0.14854304673617644,0.0007249332130372298,0.0008338118565164703,0.18510698036253684,0.18510698036253684,7.01775788581887e-05,0.011284722222222222,0.6153846153846154,0.0011281914121378457,0.0010850528540440076,0.9647495361781077,1.0,2
13,pae:PA0292,2.0261069737684534e-05,0.11433834806702066,0.0001140647024611794,0.00016730040082789637,0.13212336579038428,0.13212336579038428,4.11082373102543e-10,0.001736111111111111,0.0,0.000382584148709416,2.623053199022059e-06,0.9406307977736549,1.0,2
14,pae:PA0293,5.59164227429456e-05,0.12219095274177251,0.0005371513282695825,0.0005886065113067677,0.1450971011599523,0.1450971011599523,3.128582628161665e-09,0.006944444444444444,0.75,0.0011198889200453722,7.227486272527941e-06,0.9647495361781077,1.0,2
15,pae:PA0299,0.00046500127954150506,0.13718615002654697,0.0023306986436658077,0.0022584129197945834,0.1683873068069265,0.1683873068069265,2.1591668193640199e-07,0.008680555555555556,0.6888888888888889,0.0012796339837900033,6.017961043544648e-05,0.9573283858998145,1.0,2
16,pae:PA0316,0.0015617740099917567,0.1300669346627311,0.0002875651886959547,0.0003379551221853861,0.15232903059240152,0.15232903059240152,2.439592268133318e-06,0.006076388888888888,0.5714285714285714,0.0008515363902271674,0.00020230729882575755,0.9703153988868275,1.0,2
17,pae:PA0330,0.00034442351535297867,0.14032549094028487,0.015520105494903267,0.017933216758400494,0.17131013629225555,0.17131013629225555,1.186104253417772e-07,0.0078125,0.5,0.0014054656637393595,4.4605142214402144e-05,0.9517625231910947,1.0,1
18,pae:PA0342,0.0001420536266499094,0.11761732490171735,1.2838933478594642e-06,1.3700847893940857e-06,0.1422684772375787,0.1422684772375787,2.016176439738001e-08,0.004340277777777778,0.8,0.000683958444040968,1.837161049675753e-05,0.9703153988868275,1.0,1
19,pae:PA0350,7.91150216171615e-05,0.12829677731509692,0.006277197172753058,0.0059143652664054745,0.15611251562588654,0.15611251562588654,6.3046868353875305e-09,0.008680555555555556,0.7777777777777778,0.001220204213779359,1.0188600114458232e-05,0.9666048237476809,1.0,1
20,pae:PA0353,0.007973343427382219,0.14586721356171412,0.00019921765327257963,0.00025391860605632264,0.1783763026683177,0.1783763026683177,6.357754337656743e-05,0.006944444444444444,0.6071428571428571,0.0009831254054684993,0.0010327745699717894,0.9721706864564007,1.0,2
21,pae:PA0363,0.00036539920520362295,0.13553756109918932,4.694602380693806e-05,8.77546762295983e-05,0.164113260540693,0.164113260540693,1.334084277269827e-07,0.003472222222222222,0.6666666666666666,0.0006732190133831769,4.730376142301804e-05,0.9944341372912802,1.0,1
22,pae:PA0381,0.005989790669953684,0.14889321893498872,0.0017448390900357692,0.0020011856786347234,0.17839841115396773,0.17839841115396773,3.587931924567458e-05,0.003472222222222222,0.16666666666666666,0.0006521345816029152,0.0007758464539942202,0.9684601113172542,1.0,2
23,pae:PA0390,3.1912912418669185e-05,0.11260563999326478,0.0011768844806410309,0.0011323332750409292,0.12774185802345983,0.12774185802345983,1.0189461641022793e-09,0.0026041666666666665,0.3333333333333333,0.0007117042148959593,4.133397853750115e-06,0.974025974025974,1.0,2
24,pae:PA0393,3.3193338791080224e-05,0.11752977944217012,0.00071078368516255,0.0006740073931094852,0.13870850037031046,0.13870850037031046,1.1346006144447028e-09,0.004340277777777778,0.5,0.0009314948284262442,4.141592289162801e-06,0.961038961038961,1.0,2
25,pae:PA0402,1.92697810566001e-05,0.12273708408904434,0.0031765149516524813,0.0030800490125703988,0.14679749374576145,0.14679749374576145,3.7509562334675813e-10,0.004340277777777778,0.6,0.000746281562448647,2.4274049111004056e-06,0.961038961038961,1.0,2
26,pae:PA0407,0.0020498578170022727,0.13967382457368913,0.0037966283734909086,0.003877607487156878,0.17685914698449504,0.17685914698449504,4.187871859476359e-06,0.013888888888888888,0.5333333333333333,0.0015936184114413883,0.00026501239003442437,0.9684601113172542,1.0,2
30,pae:PA0420,2.5454533939596063e-07,0.08849727262466334,0.0019208840139009558,0.0019208840139009558,0.0996710147224867,0.0996710147224867,2.5761669173204627e-13,0.0026041666666666665,0.6666666666666666,0.0009914448158606939,3.2758724117620544e-08,0.9573283858998145,1.0,2
